City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Cidreira,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
246,Laguna,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
247,Sao Lourenco Da Mata,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
251,Kekri,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
256,Vila Velha,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
258,Puerto Leguizamo,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
264,Marcona,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
266,Kuching,MY,73.62,scattered clouds,1.55,110.3333,Hilton Kuching
269,Mangrol,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
270,Macaboboni,PH,77.47,moderate rain,12.1791,125.5072,Agapita M. Nicart
272,Nisia Floresta,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
276,Gorontalo,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
277,Tual,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
278,Bonfim,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
279,Thinadhoo,MV,82.08,few clouds,-0.6,73.0833,Scoop Guest House
282,Gusau,NG,88.75,scattered clouds,8.8833,11.3667,Debright Motel
283,Sur,OM,85.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
285,Pimenta Bueno,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
294,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
295,Amulung,PH,77.47,moderate rain,12.1791,125.5072,Agapita M. Nicart
297,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
301,Uberlandia,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
308,Mahibadhoo,MV,82.08,few clouds,-0.6,73.0833,Scoop Guest House
310,Ratnagiri,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
315,Dajal,PK,84.36,clear sky,29.5577,70.3762,LADLA CHOUDHARY HOUSE
318,Victoria,HK,72.95,clear sky,22.2855,114.1577,Mini Hotel Central
320,Tezu,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
322,Monte Alegre,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
327,Banda Aceh,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
328,Bouna,CI,77.11,light rain,9.2667,-3.0,Hôtel lababa
330,Marawi,SD,87.04,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
332,Rio Grande,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
335,Phrai Bung,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
342,Sungai Petani,MY,73.62,scattered clouds,1.55,110.3333,Hilton Kuching
345,Barmer,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
346,Rairangpur,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
347,Salalah,OM,85.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
349,Atambua,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
351,Touros,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
353,Udala,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
358,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
362,Namibe,AO,71.42,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
367,Wundanyi,KE,71.26,overcast clouds,2.3284,37.9899,Chicho Hotel
368,Saint-Philippe,RE,72.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
372,Gazojak,TM,66.42,overcast clouds,39.2446,55.5154,Railway motel
375,Sakhon Nakhon,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
376,Iguape,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
379,Alta Floresta,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
381,Omboue,GA,78.26,overcast clouds,-1.5746,9.2618,Hotel Olako
383,Atar,MR,77.58,clear sky,20.5169,-13.0499,Oumou Elghoura
384,Paracelis,PH,77.47,moderate rain,12.1791,125.5072,Agapita M. Nicart
387,Presidente Medici,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
392,Tsogni,GA,78.26,overcast clouds,-1.5746,9.2618,Hotel Olako
393,Sao Goncalo Do Sapucai,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
397,Ladario,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
399,Buluang,PH,77.47,moderate rain,12.1791,125.5072,Agapita M. Nicart
402,Katangi,IN,83.07,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
403,Dzaoudzi,YT,82.29,scattered clouds,-12.7887,45.2699,Le Rocher
404,Camocim,BR,76.78,few clouds,-5.5183,-47.4611,Imperial Hotel
412,Kutum,SD,87.04,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
417,Umm Kaddadah,SD,87.04,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
418,Iberia,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
419,San Lorenzo,PH,78.35,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
424,Amahai,ID,74.79,overcast clouds,-4.9408,122.5276,La Ode Husein
