City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Atuona,NZ,-46.1927,168.8643,51.82,89,99,10.65,overcast clouds
80,Coquimbo,CL,-53.15,-70.9167,42.91,75,0,5.75,clear sky
81,Pedernales,DO,18.0384,-71.744,83.66,58,71,12.41,broken clouds
82,Bartica,GY,6.4,-58.6167,80.92,96,23,3.53,few clouds
83,Tagusao,PH,12.1791,125.5072,77.47,87,100,7.83,moderate rain
84,Pacific Grove,US,57.79,-152.4072,38.71,75,100,6.91,light snow
85,Esperance,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
86,Araouane,ML,18.9048,-3.5265,86.4,14,8,13.71,clear sky
87,Ribeira Grande,PT,38.5167,-28.7,60.73,82,100,8.39,overcast clouds
88,Banes,CU,20.9625,-75.7186,82.29,66,4,14.25,clear sky
89,Manokwari,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
90,Lolua,RO,46.4333,26.4,45.95,82,100,4.74,overcast clouds
91,Lagos,PT,38.5167,-28.7,60.73,82,100,8.39,overcast clouds
92,Hokitika,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
93,Kavadarci,MK,41.4331,22.0119,49.12,80,48,4.79,scattered clouds
94,Riyadh,SA,24.6877,46.7219,77.14,8,1,8.05,clear sky
95,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,76,40,11.5,scattered clouds
96,Cabedelo,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
97,Bourne,US,57.79,-152.4072,38.71,75,100,6.91,light snow
98,Hobart,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
99,Matara,LK,7.4167,81.8167,78.89,82,83,3.87,broken clouds
100,Avera,NZ,-46.1927,168.8643,51.82,89,99,10.65,overcast clouds
101,Urumqi,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
102,Erenhot,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
103,Sorland,NO,70.8578,29.0864,32.0,78,70,22.79,broken clouds
104,Hengshui,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
105,Hofn,IS,64.2539,-15.2082,29.68,61,77,13.51,broken clouds
106,Saint-Pierre,RE,-21.3393,55.4781,76.91,83,40,4.61,scattered clouds
107,Puerto Colombia,CO,10.9878,-74.9547,82.49,80,99,15.68,overcast clouds
108,Santa Fe,CU,20.9625,-75.7186,82.29,66,4,14.25,clear sky
109,Winnemucca,US,57.79,-152.4072,38.71,75,100,6.91,light snow
110,Pisco,PE,-13.7,-76.2167,69.85,78,0,26.46,clear sky
111,Chegutu,ZW,-18.1302,30.1407,67.28,57,19,9.22,few clouds
112,Katsuura,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
113,Sungairaya,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
114,Port Macquarie,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
115,Huarmey,PE,-13.7,-76.2167,69.85,78,0,26.46,clear sky
116,Tandalti,SD,13.0167,31.8667,87.04,22,19,7.81,few clouds
117,Gazanjyk,TM,39.2446,55.5154,66.42,37,100,4.81,overcast clouds
118,Lebu,CL,-53.15,-70.9167,42.91,75,0,5.75,clear sky
119,Pitsunda,GE,43.1592,40.3378,50.18,73,8,15.46,clear sky
120,Pine Bluff,US,57.79,-152.4072,38.71,75,100,6.91,light snow
121,Rungata,KI,3.0707,172.7902,81.25,79,99,13.8,light rain
122,Hovd,MN,48.0056,91.6419,46.4,31,42,9.1,scattered clouds
123,Qaanaaq,GL,60.1432,-45.2371,29.68,86,99,12.03,overcast clouds
124,Potsdam,US,57.79,-152.4072,38.71,75,100,6.91,light snow
125,Thompson,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
126,Broome,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
127,Sao Joao Da Barra,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
128,Ternate,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
129,Hornepayne,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
130,Geraldton,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
131,Slave Lake,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
132,Rudbar,AF,30.15,62.6,80.33,12,0,6.93,clear sky
133,Kahului,US,57.79,-152.4072,38.71,75,100,6.91,light snow
134,Torbay,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
135,Boende,CD,-0.2167,20.8667,72.57,82,53,3.47,broken clouds
136,Inhambane,MZ,-23.865,35.3833,75.43,88,61,6.44,light rain
137,Birecik,TR,37.0294,37.9903,61.81,69,100,5.03,overcast clouds
138,Miedzyrzec Podlaski,PL,51.9864,22.7825,52.65,71,93,21.27,light rain
139,Faanui,NZ,-46.1927,168.8643,51.82,89,99,10.65,overcast clouds
140,Mount Isa,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
141,Merauke,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
142,Zhezkazgan,KZ,47.8043,67.7144,39.79,72,8,9.37,clear sky
143,Havoysund,NO,70.8578,29.0864,32.0,78,70,22.79,broken clouds
144,Dubti,ET,11.7361,41.0853,83.07,36,43,11.72,scattered clouds
145,Villaviciosa,ES,28.6585,-17.9182,58.75,76,40,11.5,scattered clouds
146,Ancud,CL,-53.15,-70.9167,42.91,75,0,5.75,clear sky
147,Atherton,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
148,Kuche,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
149,Vernon,US,57.79,-152.4072,38.71,75,100,6.91,light snow
150,Barra Patuca,HN,15.7437,-87.1766,89.55,75,65,5.32,broken clouds
151,Agadez,NE,19.75,10.25,83.41,7,1,3.91,clear sky
152,Lago Da Pedra,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
153,Dali,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
154,Oro Valley,US,57.79,-152.4072,38.71,75,100,6.91,light snow
155,Jamestown,US,42.097,-79.2353,44.94,74,100,5.75,light rain
156,Iqaluit,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
157,Makakilo City,US,57.79,-152.4072,38.71,75,100,6.91,light snow
158,Fairbanks,US,57.79,-152.4072,38.71,75,100,6.91,light snow
159,Northam,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
160,Ganzhou,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
161,Portland,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
162,Aki,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
163,Husavik,IS,64.2539,-15.2082,29.68,61,77,13.51,broken clouds
164,Oga,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
165,Zyryanovsk,KZ,47.8043,67.7144,39.79,72,8,9.37,clear sky
166,Emerald,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
167,Bako,ET,11.7361,41.0853,83.07,36,43,11.72,scattered clouds
168,Inirida,CO,10.9878,-74.9547,82.49,80,99,15.68,overcast clouds
169,Shimoda,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
170,Cockburn Town,TC,21.4612,-71.1419,78.49,76,1,19.51,clear sky
171,Ondorhaan,MN,48.0056,91.6419,46.4,31,42,9.1,scattered clouds
172,Union,US,40.6334,-74.2663,52.86,95,100,20.71,mist
173,Harper,LR,4.375,-7.7169,80.71,82,64,6.11,broken clouds
174,Vao,NC,-22.6667,167.4833,80.11,82,96,32.79,moderate rain
175,Maceio,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
176,Malartic,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
177,Kathu,TH,7.9178,98.3332,83.7,78,100,3.0,overcast clouds
178,Pangai,TO,-21.2,-175.2,82.56,83,75,1.14,broken clouds
179,Port Lincoln,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
180,Avarua,CK,-21.2078,-159.775,86.05,74,20,13.8,few clouds
181,Bereda,ES,43.2686,-7.5406,52.14,81,100,10.42,overcast clouds
182,Sterling,US,57.79,-152.4072,38.71,75,100,6.91,light snow
183,Hithadhoo,MV,-0.6,73.0833,82.08,63,17,3.8,few clouds
184,Nhulunbuy,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
185,Biak,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
186,Wairoa,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
187,Cayenne,GF,4.9333,-52.3333,77.09,1,75,10.36,moderate rain
188,Jalingo,NG,8.8833,11.3667,88.75,33,40,5.53,scattered clouds
189,Skjervoy,NO,70.8578,29.0864,32.0,78,70,22.79,broken clouds
190,Oxford,NZ,-46.6,168.3333,56.52,65,91,27.38,overcast clouds
191,Ngukurr,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
192,Bethel,US,57.79,-152.4072,38.71,75,100,6.91,light snow
